File,jury verdict,nonjury trial,plea of guilty,sever,suppress,sufficient,instructions,coerce,ineffective counsel,double jeopardy,speedy,coercion,youth,incapac,resentenc,juror,mental
2003_18059.htm.txt,,,,,,,,,,,,,,,,,
2003_18060.htm.txt,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18061.htm.txt,1,0,0,,,,,,,,,,,,,,
2003_18062.htm.txt,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003_18063.htm.txt,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003_18064.htm.txt,1,0,0,,,,,,,,,,,,,,
2003_18065.htm.txt,1,0,0,,,,,,,,,,,,,,
2003_18066.htm.txt,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18067.htm.txt,0,0,1,,,,,,,,,,,,,,
2003_18069.htm.txt,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003_18070.htm.txt,1,0,0,,,,,,,,,,,,,,
2003_18071.htm.txt,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003_18072.htm.txt,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18073.htm.txt,,,,,,,,,,,,,,,,,
2003_18074.htm.txt,,,,,,,,,,,,,,,,,
2003_18075.htm.txt,1,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18076.htm.txt,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18077.htm.txt,,,,,,,,,,,,,,,,,
2003_18078.htm.txt,1,0,0,,,,,,,,,,,,,,
2003_18079.htm.txt,,,,,,,,,,,,,,,,,
2003_18080.htm.txt,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2003_18081.htm.txt,,,,,,,,,,,,,,,,,
2003_18082.htm.txt,1,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18083.htm.txt,1,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18084.htm.txt,1,0,0,,,,,,,,,,,,,,
2003_18085.htm.txt,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003_18086.htm.txt,,,,,,,,,,,,,,,,,
2003_18087.htm.txt,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18088.htm.txt,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18089.htm.txt,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003_18090.htm.txt,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18091.htm.txt,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18092.htm.txt,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2003_18093.htm.txt,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18094.htm.txt,,,,,,,,,,,,,,,,,
2003_18095.htm.txt,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2003_18096.htm.txt,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18097.htm.txt,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18098.htm.txt,0,0,1,,,,,,,,,,,,,,
2003_18099.htm.txt,0,0,1,,,,,,,,,,,,,,
2003_18100.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003_18101.htm.txt,0,0,1,,,,,,,,,,,,,,
2003_18142.htm.txt,,,,,,,,,,,,,,,,,
2003_18145.htm.txt,0,0,1,,,,,,,,,,,,,,
2003_18146.htm.txt,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003_18148.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18149.htm.txt,,,,,,,,,,,,,,,,,
2003_18151.htm.txt,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2003_18158.htm.txt,,,,,,,,,,,,,,,,,
2003_18160.htm.txt,0,0,1,,,,,,,,,,,,,,
2003_18161.htm.txt,,,,,,,,,,,,,,,,,
2003_18162.htm.txt,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18164.htm.txt,,,,,,,,,,,,,,,,,
2003_18166.htm.txt,,,,,,,,,,,,,,,,,
2003_18174.htm.txt,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18175.htm.txt,0,0,1,,,,,,,,,,,,,,
2003_18177.htm.txt,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18214.htm.txt,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2003_18215.htm.txt,,,,,,,,,,,,,,,,,
2003_18241.htm.txt,,,,,,,,,,,,,,,,,
2003_18242.htm.txt,,,,,,,,,,,,,,,,,
2003_18243.htm.txt,1,0,0,,,,,,,,,,,,,,
2003_18244.htm.txt,0,0,1,,,,,,,,,,,,,,
2003_18245.htm.txt,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18246.htm.txt,,,,,,,,,,,,,,,,,
2003_18247.htm.txt,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18248.htm.txt,0,0,1,,,,,,,,,,,,,,
2003_18249.htm.txt,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2003_18250.htm.txt,0,0,1,,,,,,,,,,,,,,
2003_18251.htm.txt,,,,,,,,,,,,,,,,,
2003_18252.htm.txt,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003_18253.htm.txt,,,,,,,,,,,,,,,,,
2003_18254.htm.txt,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2003_18255.htm.txt,1,0,0,,,,,,,,,,,,,,
2003_18256.htm.txt,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18257.htm.txt,,,,,,,,,,,,,,,,,
2003_18258.htm.txt,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18259.htm.txt,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18260.htm.txt,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003_18261.htm.txt,1,0,0,,,,,,,,,,,,,,
2003_18262.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18263.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18264.htm.txt,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18265.htm.txt,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2003_18266.htm.txt,,,,,,,,,,,,,,,,,
2003_18267.htm.txt,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18268.htm.txt,,,,,,,,,,,,,,,,,
2003_18269.htm.txt,1,0,0,,,,,,,,,,,,,,
2003_18270.htm.txt,,,,,,,,,,,,,,,,,
2003_18271.htm.txt,1,0,0,,,,,,,,,,,,,,
2003_18272.htm.txt,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18274.htm.txt,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003_18275.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18276.htm.txt,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18277.htm.txt,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2003_18278.htm.txt,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18279.htm.txt,,,,,,,,,,,,,,,,,
2003_18280.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18281.htm.txt,,,,,,,,,,,,,,,,,
