,File,jury verdict,nonjury trial,plea of guilty,sever,suppress,sufficient,instructions,coerce,ineffective counsel,double jeopardy,speedy,coercion,youth,incapac,resentenc,juror,mental
53,2003_18166.htm.txt,,,,,,,,,,,,,,,,,
54,2003_18174.htm.txt,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2003_18175.htm.txt,0.0,0.0,1.0,,,,,,,,,,,,,,
56,2003_18177.htm.txt,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2003_18214.htm.txt,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
58,2003_18215.htm.txt,,,,,,,,,,,,,,,,,
59,2003_18241.htm.txt,,,,,,,,,,,,,,,,,
60,2003_18242.htm.txt,,,,,,,,,,,,,,,,,
61,2003_18243.htm.txt,1.0,0.0,0.0,,,,,,,,,,,,,,
62,2003_18244.htm.txt,0.0,0.0,1.0,,,,,,,,,,,,,,
63,2003_18245.htm.txt,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2003_18246.htm.txt,,,,,,,,,,,,,,,,,
65,2003_18247.htm.txt,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2003_18248.htm.txt,0.0,0.0,1.0,,,,,,,,,,,,,,
67,2003_18249.htm.txt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
68,2003_18250.htm.txt,0.0,0.0,1.0,,,,,,,,,,,,,,
69,2003_18251.htm.txt,,,,,,,,,,,,,,,,,
70,2003_18252.htm.txt,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
71,2003_18253.htm.txt,,,,,,,,,,,,,,,,,
72,2003_18254.htm.txt,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
73,2003_18255.htm.txt,1.0,0.0,0.0,,,,,,,,,,,,,,
