,File,years_from_trial,days_jail_doc,County of Commitment_ALBANY ,County of Commitment_ALLEGANY ,County of Commitment_BRONX ,County of Commitment_BROOME ,County of Commitment_CATTARAUGUS ,County of Commitment_CAYUGA ,County of Commitment_CHAUTAUQUA ,County of Commitment_CHEMUNG ,County of Commitment_CHENANGO ,County of Commitment_CLINTON ,County of Commitment_COLUMBIA ,County of Commitment_CORTLAND ,County of Commitment_DELAWARE ,County of Commitment_DUTCHESS ,County of Commitment_ERIE ,County of Commitment_ESSEX ,County of Commitment_FRANKLIN ,County of Commitment_FULTON ,County of Commitment_GENESEE ,County of Commitment_GREENE ,County of Commitment_HERKIMER ,County of Commitment_JEFFERSON ,County of Commitment_KINGS ,County of Commitment_LIVINGSTON ,County of Commitment_MADISON ,County of Commitment_MONROE ,County of Commitment_MONTGOMERY ,County of Commitment_NASSAU ,County of Commitment_NEW YORK ,County of Commitment_NIAGARA ,County of Commitment_ONEIDA ,County of Commitment_ONONDAGA ,County of Commitment_ONTARIO ,County of Commitment_ORANGE ,County of Commitment_ORLEANS ,County of Commitment_OSWEGO ,County of Commitment_OTSEGO ,County of Commitment_PUTNAM ,County of Commitment_QUEENS ,County of Commitment_RENSSELAER ,County of Commitment_RICHMOND ,County of Commitment_ROCKLAND ,County of Commitment_SARATOGA ,County of Commitment_SCHENECTADY ,County of Commitment_SCHOHARIE ,County of Commitment_SCHUYLER ,County of Commitment_SENECA ,County of Commitment_ST. LAWRENCE ,County of Commitment_STEUBEN ,County of Commitment_SUFFOLK ,County of Commitment_SULLIVAN ,County of Commitment_TIOGA ,County of Commitment_TOMPKINS ,County of Commitment_ULSTER ,County of Commitment_WARREN ,County of Commitment_WASHINGTON ,County of Commitment_WAYNE ,County of Commitment_WESTCHESTER ,County of Commitment_WYOMING ,County of Commitment_YATES ,Facility_ADIRONDACK ,Facility_ALBION ,Facility_ALTONA ,Facility_ARTHURKILL ,Facility_ATTICA ,Facility_AUBURN ,Facility_BARE HILL ,Facility_BAYVIEW ,Facility_BEACON FEMALE ,Facility_BEDFORD HILLS ,Facility_BUTLER ,Facility_CAPE VINCENT ,Facility_CAYUGA ,Facility_CHATEAUGAY ASACTC ,Facility_CLINTON ,Facility_COLLINS ,Facility_COXSACKIE ,Facility_DOWNSTATE ,Facility_EASTERN ,Facility_EDGECOMBE ,Facility_ELMIRA ,Facility_FISHKILL ,Facility_FIVE POINTS ,Facility_FRANKLIN ,Facility_GOUVERNEUR ,Facility_GOWANDA ,Facility_GREAT MEADOW ,Facility_GREEN HAVEN ,Facility_GREENE ,Facility_GROVELAND ,Facility_HALE CREEK ASACTC ,Facility_HUDSON ,Facility_LAKEVIEW ,Facility_LINCOLN ,Facility_LIVINGSTON ,Facility_MARCY ,Facility_MID-ORANGE ,Facility_MIDSTATE ,Facility_MOHAWK ,Facility_MORIAH ,Facility_MT. MCGREGOR ,Facility_OGDENSBURG ,Facility_ONEIDA ,Facility_ORLEANS ,Facility_OTISVILLE ,Facility_QUEENSBORO ,Facility_RIVERVIEW ,Facility_ROCHESTER ,Facility_SHAWANGUNK ,Facility_SING SING ,Facility_SOUTHPORT ,Facility_SULLIVAN ,Facility_SUMMIT ,Facility_TACONIC ,Facility_ULSTER ,Facility_UPSTATE ,Facility_WALLKILL ,Facility_WASHINGTON ,Facility_WATERTOWN ,Facility_WENDE ,Facility_WILLARD ,Facility_WOODBOURNE ,Facility_WYOMING ,Race/Ethnicity_ASIAN ,Race/Ethnicity_BLACK ,Race/Ethnicity_BLACK/HISPANIC ,Race/Ethnicity_HISPANIC ,Race/Ethnicity_NATIVE AM ,Race/Ethnicity_NATIVE AM/HISPANIC ,Race/Ethnicity_OTHER ,Race/Ethnicity_WHITE ,Race/Ethnicity_WHITE/HISPANIC ,Sex_FEMALE ,Sex_MALE ,Status_DISCHARGED ,Status_IN CUSTODY ,Status_OUT TO COURT ,Status_RELEASED ,Status_TEMP RELEASE 
10,2003_18503.htm.txt,0.046575342,2814 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
11,2003_18670.htm.txt,0.01369863,1493 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
12,2003_18710.htm.txt,0.7561643840000001,245 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
13,2003_18860.htm.txt,0.046575342,2275 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
14,2003_18861.htm.txt,0.08219178099999999,318 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
15,2003_18866.htm.txt,0.04109589,1766 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
16,2003_18884.htm.txt,0.030136986,1284 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
17,2003_18913.htm.txt,0.106849315,4222 days 00:00:00.000000000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
18,2003_19019.htm.txt,0.035616438,981 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
19,2003_19022.htm.txt,0.057534247000000004,2386 days 00:00:00.000000000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
