,Column_Name,Dtype
235,type_crime_escape,int64
236,type_crime_failure to register as a sex offender,int64
237,type_crime_falsely reporting an incident,int64
238,type_crime_falsifying business records,int64
239,type_crime_forgery,int64
240,type_crime_four counts of robbery,int64
241,type_crime_gang assault,int64
242,type_crime_grand larceny,int64
243,type_crime_identity theft,int64
244,type_crime_insurance fraud,int64
245,type_crime_kidnapping,int64
246,type_crime_manslaughter,int64
247,type_crime_menacing,int64
248,type_crime_murder,int64
249,type_crime_obstructing governmental administration,int64
250,type_crime_offering a false instrument for filing,int64
251,type_crime_petit larceny,int64
252,type_crime_possessing a sexual performance by a child,int64
253,type_crime_promoting prison contraband,int64
254,type_crime_promoting prostitution,int64
255,type_crime_rape,int64
256,type_crime_reckless assault of a child,int64
257,type_crime_reckless endangerment,int64
258,type_crime_resisting arrest,int64
259,type_crime_robbery,int64
260,type_crime_scheme to defraud,int64
261,type_crime_sex offender,int64
262,type_crime_sexual abuse,int64
263,type_crime_sodomy,int64
264,type_crime_three counts of robbery,int64
265,type_crime_two counts of burglary,int64
266,type_crime_two counts of criminal possession of a weapon,int64
267,type_crime_two counts of murder,int64
268,type_crime_two counts of robbery,int64
269,type_crime_unauthorized use of a vehicle,int64
270,type_crime_unlawful imprisonment,int64
271,type_crime_unlawful manufacture of methamphetamine,int64
272,type_crime_unlawful surveillance,int64
273,type_crime_use of a child,int64
274,type_crime_vehicular manslaughter,int64
275,type_crime_welfare fraud,int64
276,type_crime_nan,int64
277,degree_crime_fifth,int64
278,degree_crime_first,int64
279,degree_crime_fourth,int64
280,degree_crime_second,int64
281,degree_crime_seventh,int64
282,degree_crime_sixth,int64
283,degree_crime_third,int64
284,degree_crime_nan,int64
